link,video,utterance,transcript
"https://www.youtube.com/watch?v=_bg0TrqHcBs",1f61459b0,utterance_1.mp4,"hey what's up my name is Dave nearly and I presented by John Smith it was a dark and stormy night in fairytale land and night just perfect for wages"
"https://www.youtube.com/watch?v=_bg0TrqHcBs",1f61459b0,utterance_2.mp4,"I'll be gentle you're ready for world turn Topsy Turvy"
"https://www.youtube.com/watch?v=_bg0TrqHcBs",1f61459b0,utterance_3.mp4,"sweet witches and friendly wolves wise Wizard and president with pig noses as a world gone mad I tell you"
"https://www.youtube.com/watch?v=_bg0TrqHcBs",1f61459b0,utterance_4.mp4,"but somehow things were starting to lift Sunnyside"
"https://www.youtube.com/watch?v=_bg0TrqHcBs",1f61459b0,utterance_5.mp4,"happily ever after Orlando"
"https://www.youtube.com/watch?v=_bg0TrqHcBs",1f61459b0,utterance_6.mp4,"club deCameron nights because I had this over easy feeling coming over me when she walked in she had the video on fortress and accounting is about cobra it was the fairy goddaughter the witcher 3 woman the worst of the Walla Walla"
"https://www.youtube.com/watch?v=_bg0TrqHcBs",1f61459b0,utterance_7.mp4,"have you got one of this was some kind of joke because I already cracked the case on the sleeping prince"
"https://www.youtube.com/watch?v=_bg0TrqHcBs",1f61459b0,utterance_8.mp4,""
"https://www.youtube.com/watch?v=_bg0TrqHcBs",1f61459b0,utterance_9.mp4,"sleeping spell what is the colour and then I'm much more rattan egg chair big egg surprise"
"https://www.youtube.com/watch?v=_bg0TrqHcBs",1f61459b0,utterance_10.mp4,"will I put a lock on eggshells around everyone else"
"https://www.youtube.com/watch?v=_bg0TrqHcBs",1f61459b0,utterance_11.mp4,""
"https://www.youtube.com/watch?v=_bg0TrqHcBs",1f61459b0,utterance_12.mp4,"I know she was trouble and I told her so"
"https://www.youtube.com/watch?v=_bg0TrqHcBs",1f61459b0,utterance_13.mp4,"I thought you was like 100 of that Scramble your brain like what comes first the chicken or the egg"
"https://www.youtube.com/watch?v=_bg0TrqHcBs",1f61459b0,utterance_14.mp4,"I told a bit less you want ever top of the king's horses and all the king's men I stood up and I was"
"https://www.youtube.com/watch?v=XPXSWf1h0h4",a1b44e5f3,utterance_10.mp4,"subretinal millcroft"
"https://www.youtube.com/watch?v=XPXSWf1h0h4",a1b44e5f3,utterance_14.mp4,"where to buy plastic to monitor servers"
"https://www.youtube.com/watch?v=XPXSWf1h0h4",a1b44e5f3,utterance_16.mp4,"a pleasant surprise"
"https://www.youtube.com/watch?v=XPXSWf1h0h4",a1b44e5f3,utterance_19.mp4,""
"https://www.youtube.com/watch?v=XPXSWf1h0h4",a1b44e5f3,utterance_21.mp4,"it was like living in black and white"
"https://www.youtube.com/watch?v=XPXSWf1h0h4",a1b44e5f3,utterance_22.mp4,"supracolor tomorrow"
"https://www.youtube.com/watch?v=XPXSWf1h0h4",a1b44e5f3,utterance_23.mp4,"about some miracle miracle"
"https://www.youtube.com/watch?v=XPXSWf1h0h4",a1b44e5f3,utterance_29.mp4,""
"https://www.youtube.com/watch?v=XPXSWf1h0h4",a1b44e5f3,utterance_30.mp4,""
"https://www.youtube.com/watch?v=XPXSWf1h0h4",a1b44e5f3,utterance_32.mp4,"chords to My whiskey Chris"
"https://www.youtube.com/watch?v=XPXSWf1h0h4",a1b44e5f3,utterance_33.mp4,""
"https://www.youtube.com/watch?v=pZSp0HSzGqQ",a7c5bc08c,utterance_1.mp4,"I think I've made a big mistake"
"https://www.youtube.com/watch?v=pZSp0HSzGqQ",a7c5bc08c,utterance_2.mp4,"my friend memories are much my Enemy and they are yours"
"https://www.youtube.com/watch?v=pZSp0HSzGqQ",a7c5bc08c,utterance_3.mp4,"I'm remembering something something I want to forget"
"https://www.youtube.com/watch?v=pZSp0HSzGqQ",a7c5bc08c,utterance_4.mp4,"I was in a car accident"
"https://www.youtube.com/watch?v=pZSp0HSzGqQ",a7c5bc08c,utterance_5.mp4,"drag racing around here"
"https://www.youtube.com/watch?v=pZSp0HSzGqQ",a7c5bc08c,utterance_6.mp4,"we came up on a curve at the other guy out there was his truck what was swerving to each other and in the truck hit us"
