link,video,utterance,transcript
"https://www.youtube.com/watch?v=CROcsl0lIec",5b44393ed,utterance_4.mp4,"hi I'm fine"
"https://www.youtube.com/watch?v=CROcsl0lIec",5b44393ed,utterance_6.mp4,"yeah I wasn't expecting you are to say hi quanah anything and I know what you're thinking what is a vampire doing here the AA meeting right and with a tan "
"https://www.youtube.com/watch?v=CROcsl0lIec",5b44393ed,utterance_7.mp4,"places in unhappy vampire can go for support"
"https://www.youtube.com/watch?v=CROcsl0lIec",5b44393ed,utterance_8.mp4,"trying to convince me that I need it more self-esteem moral self-esteem I have a drinking problem but it's only because I have to because "
"https://www.youtube.com/watch?v=CROcsl0lIec",5b44393ed,utterance_9.mp4,"I don't know what happens anyway"
"https://www.youtube.com/watch?v=CROcsl0lIec",5b44393ed,utterance_10.mp4,"handle on my drinking because it's bloody "
"https://www.youtube.com/watch?v=CROcsl0lIec",5b44393ed,utterance_12.mp4,"BBC"
"https://www.youtube.com/watch?v=CROcsl0lIec",5b44393ed,utterance_13.mp4,"trying to find me ways to put myself out there it's been kinda hard to meet people since I lost my job at the auction house "
"https://www.youtube.com/watch?v=CROcsl0lIec",5b44393ed,utterance_14.mp4,""
"https://www.youtube.com/watch?v=CROcsl0lIec",5b44393ed,utterance_15.mp4,"Buccaneer"
"https://www.youtube.com/watch?v=CROcsl0lIec",5b44393ed,utterance_16.mp4,"sorry that's that's depressing I think you meant to use everything "
"https://www.youtube.com/watch?v=CROcsl0lIec",5b44393ed,utterance_17.mp4,""
"https://www.youtube.com/watch?v=CROcsl0lIec",5b44393ed,utterance_18.mp4,"set alarm for one day"
"https://www.youtube.com/watch?v=CROcsl0lIec",5b44393ed,utterance_19.mp4,"I'm doing it my way"
"https://www.youtube.com/watch?v=CROcsl0lIec",5b44393ed,utterance_20.mp4,"weather for this weekend"
"https://www.youtube.com/watch?v=CROcsl0lIec",5b44393ed,utterance_21.mp4,"Jason Donovan"
"https://www.youtube.com/watch?v=CROcsl0lIec",5b44393ed,utterance_22.mp4,""
"https://www.youtube.com/watch?v=Zrx1BfbOysg",8c56c5ac5,utterance_1.mp4,""
"https://www.youtube.com/watch?v=Zrx1BfbOysg",8c56c5ac5,utterance_2.mp4,""
"https://www.youtube.com/watch?v=Zrx1BfbOysg",8c56c5ac5,utterance_3.mp4,"I think I made a big mistake I'm afraid memories are as much"
"https://www.youtube.com/watch?v=Zrx1BfbOysg",8c56c5ac5,utterance_4.mp4,"my anime fans dear yours"
"https://www.youtube.com/watch?v=Zrx1BfbOysg",8c56c5ac5,utterance_5.mp4,"I'm"
"https://www.youtube.com/watch?v=Zrx1BfbOysg",8c56c5ac5,utterance_6.mp4,"I'm remembering something something I want to forget"
"https://www.youtube.com/watch?v=Zrx1BfbOysg",8c56c5ac5,utterance_7.mp4,"how are you"
"https://www.youtube.com/watch?v=Zrx1BfbOysg",8c56c5ac5,utterance_8.mp4,"car accidents"
"https://www.youtube.com/watch?v=Zrx1BfbOysg",8c56c5ac5,utterance_9.mp4,""
"https://www.youtube.com/watch?v=Zrx1BfbOysg",8c56c5ac5,utterance_10.mp4,"how is drag racing"
"https://www.youtube.com/watch?v=Zrx1BfbOysg",8c56c5ac5,utterance_11.mp4,"right right right over there"
"https://www.youtube.com/watch?v=Zrx1BfbOysg",8c56c5ac5,utterance_12.mp4,""
"https://www.youtube.com/watch?v=Zrx1BfbOysg",8c56c5ac5,utterance_13.mp4,"came up on a curve"
"https://www.youtube.com/watch?v=Zrx1BfbOysg",8c56c5ac5,utterance_14.mp4,""
"https://www.youtube.com/watch?v=Zrx1BfbOysg",8c56c5ac5,utterance_15.mp4,"Oswestry Cheddar and down"
