link,video,utterance,transcript
"https://www.youtube.com/watch?v=xfsvvbTlR38",74de88564,utterance_1.mp4,"Morrisons Black Friday you can perform one line from the model if you want give it your "
"https://www.youtube.com/watch?v=xfsvvbTlR38",74de88564,utterance_2.mp4,"Black Friday effort and er you can do like a lovely photograph of what you look like after the Black Friday shopping instamatic as possible please over example UK "
"https://www.youtube.com/watch?v=xfsvvbTlR38",74de88564,utterance_3.mp4,""
"https://www.youtube.com/watch?v=xfsvvbTlR38",74de88564,utterance_4.mp4,"my nails are so brittle"
"https://www.youtube.com/watch?v=xfsvvbTlR38",74de88564,utterance_5.mp4,"Black Friday"
"https://www.youtube.com/watch?v=xfsvvbTlR38",74de88564,utterance_6.mp4,"something like that"
"https://www.youtube.com/watch?v=xfsvvbTlR38",74de88564,utterance_7.mp4,"do it"
"https://www.youtube.com/watch?v=xfsvvbTlR38",74de88564,utterance_8.mp4,"I'm sorry"
"https://www.youtube.com/watch?v=xfsvvbTlR38",74de88564,utterance_9.mp4,"I need you guys that's why I need you guys I can't even perform my own scrub"
"https://www.youtube.com/watch?v=xfsvvbTlR38",74de88564,utterance_10.mp4,""
"https://www.youtube.com/watch?v=xfsvvbTlR38",74de88564,utterance_11.mp4,"or am now we also have the December"
"https://www.youtube.com/watch?v=xfsvvbTlR38",74de88564,utterance_12.mp4,"acting video contest and answer what you can do is perform some Shakespearean Centre"
"https://www.youtube.com/watch?v=xfsvvbTlR38",74de88564,utterance_13.mp4,"so you can perform with the friends in the Black Friday when you can perform"
"https://www.youtube.com/watch?v=xfsvvbTlR38",74de88564,utterance_14.mp4,"one line from it"
"https://www.youtube.com/watch?v=xfsvvbTlR38",74de88564,utterance_15.mp4,"you can do a dramatic reading script in here and all those things are acceptable"
"https://www.youtube.com/watch?v=xfsvvbTlR38",74de88564,utterance_16.mp4,"for the Christmas one whenever $50 $25 for the Black Friday"
"https://www.youtube.com/watch?v=xfsvvbTlR38",74de88564,utterance_17.mp4,"54 the Christmas one"
"https://www.youtube.com/watch?v=xfsvvbTlR38",74de88564,utterance_18.mp4,"so I for example you can do 6."
"https://www.youtube.com/watch?v=xfsvvbTlR38",74de88564,utterance_19.mp4,"I am round like the moon in your nose is bright as the sun"
"https://www.youtube.com/watch?v=xfsvvbTlR38",74de88564,utterance_20.mp4,"Ebenezer Scrooge sure you can perform that one "
"https://www.youtube.com/watch?v=xfsvvbTlR38",74de88564,utterance_21.mp4,"so I just have fun with that"
"https://www.youtube.com/watch?v=gG1zIeeobkA",8c49a05d3_1,utterance_1.mp4,"I seen with her boyfriend into a girl I don't even like no one knows what happened "
"https://www.youtube.com/watch?v=gG1zIeeobkA",8c49a05d3_1,utterance_2.mp4,"and do I tell if between what's right and what will ruin your life "
"https://www.youtube.com/watch?v=gG1zIeeobkA",8c49a05d3_1,utterance_3.mp4,"ringer for herself why does she have to be so everyone has turned against me "
"https://www.youtube.com/watch?v=gG1zIeeobkA",8c49a05d3_1,utterance_4.mp4,"and I will become like her"
"https://www.youtube.com/watch?v=gG1zIeeobkA",8c49a05d3_1,utterance_5.mp4,"invisible"
"https://www.youtube.com/watch?v=NF0yeLqb-D4",9e9c69399_1,utterance_1.mp4,"hey guys Coach bags here I want to talk to you about something very cool the performance though"
"https://www.youtube.com/watch?v=NF0yeLqb-D4",9e9c69399_1,utterance_2.mp4,"performance zone is 30 minutes that will empower your life 30 minutes every Friday afternoon from 1 to 1:30 Pacific time we're going to stream wow "
"https://www.youtube.com/watch?v=NF0yeLqb-D4",9e9c69399_1,utterance_3.mp4,"powering message a moment and experience 30 minutes that"
"https://www.youtube.com/watch?v=NF0yeLqb-D4",9e9c69399_1,utterance_4.mp4,"sure to Emporio dealing with things that you're interested in the art of the craft of acting in the business of show business This Is Gonna "
"https://www.youtube.com/watch?v=NF0yeLqb-D4",9e9c69399_1,utterance_5.mp4,"are you up catapult you through your weekend running into the new week so that whatever it is you're doing your operating at an entirely different level new message every week "
"https://www.youtube.com/watch?v=hqkHmWTSsBc",784a2f83f_1,utterance_1.mp4,"can we all please get back to work we have lots of clients who made us and we have tons of climbs of "
"https://www.youtube.com/watch?v=hqkHmWTSsBc",784a2f83f_1,utterance_2.mp4,"why you enjoyed The Rasmus I belong who lost her husband in an accident and will lose her home if we don't feel this client "
"https://www.youtube.com/watch?v=hqkHmWTSsBc",784a2f83f_1,utterance_3.mp4,"or what about Rodger Thomason he's in hospital right now and he's sleeping deeper and deeper in debt until he hears from us "
"https://www.youtube.com/watch?v=hqkHmWTSsBc",784a2f83f_1,utterance_4.mp4,"special help he desperately needs during his medal prices keramag chance of everyone "
"https://www.youtube.com/watch?v=iVGhrfCoBks",e514236d0_1,utterance_1.mp4,"one more sale one last sale the sale that will make me rich the sale of a lifetime they say I can sell anything and believed them "
"https://www.youtube.com/watch?v=iVGhrfCoBks",e514236d0_1,utterance_2.mp4,"what I get away with"
"https://www.youtube.com/watch?v=iVGhrfCoBks",e514236d0_1,utterance_3.mp4,"it almost made me rich almost I am so close I can taste it that's how you doing you picture when you want and then you make it real name arrow what it "
"https://www.youtube.com/watch?v=iVGhrfCoBks",e514236d0_1,utterance_4.mp4,"makes you do anything and everything to make it happen you have to sell yourself on it first you have to make it this gold Your Life That "
"https://www.youtube.com/watch?v=iVGhrfCoBks",e514236d0_1,utterance_5.mp4,"this right now that's the only way to do it let it all go nothing else is really important everything else just gets in the way "
"https://www.youtube.com/watch?v=iVGhrfCoBks",e514236d0_1,utterance_6.mp4,"distract you"
"https://www.youtube.com/watch?v=iVGhrfCoBks",e514236d0_1,utterance_7.mp4,"if someone doesn't help you get to your goal then they are useless surround yourself only with people who can help you and when they're no longer used "
"https://www.youtube.com/watch?v=iVGhrfCoBks",e514236d0_1,utterance_8.mp4,"that unless you don't need the baggage baggage only weighs you down"
